Start 1h:3m:33s, Update intervall 5 ms
Time [s], Button-press [], Acceleration_x [m/s^2], Acceleration_y [m/s^2], Acceleration_z [m/s^2], Angular-velocity_x [Deg/s], Angular-velocity_y [Deg/s], Angular-velocity_z [Deg/s], Quaternion_w [], Quaternion_x [], Quaternion_y [], Quaternion_z [], Euler-yaw [Deg], Euler-roll [Deg], Euler-pitch [Deg]
0.130,          ,   9.66,   0.19,   2.20,     5.75,     1.81,     3.94,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.135,          ,   9.66,   0.19,   2.20,     1.94,    -1.31,     3.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.140,          ,   9.60,   0.16,   1.91,     1.94,    -1.31,     3.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.145,          ,   9.60,   0.16,   1.91,    -1.00,    -6.06,     3.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.150,          ,   9.77,   0.11,   1.88,    -1.00,    -6.06,     3.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.160,          ,   9.67,   0.13,   1.84,    -4.00,    -9.25,     2.88,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.165,          ,   9.67,   0.13,   1.84,    -4.00,    -9.25,     2.88,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.170,          ,   9.69,   0.17,   2.06,    -6.50,   -13.31,     2.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.175,          ,   9.69,   0.17,   2.06,    -6.50,   -13.31,     2.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.195,          ,  10.09,   0.01,   1.78,    -9.00,   -17.25,     2.69,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.200,          ,  10.24,  -0.11,   1.61,   -13.25,   -17.06,     2.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.205,          ,  10.24,  -0.11,   1.61,   -13.25,   -17.06,     2.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.210,          ,  10.01,  -0.23,   1.44,   -12.50,   -14.62,     2.00,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.215,          ,  10.01,  -0.23,   1.44,   -12.50,   -14.62,     2.00,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.220,          ,   9.70,  -0.31,   1.36,    -9.44,   -14.19,     1.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.225,          ,   9.70,  -0.31,   1.36,    -9.44,   -14.19,     1.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.230,          ,   9.69,  -0.34,   1.33,    -5.94,   -11.94,     1.06,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.240,          ,   9.61,  -0.46,   1.27,    -2.44,    -7.50,     0.56,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.245,          ,   9.61,  -0.46,   1.27,    -2.44,    -7.50,     0.56,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.250,          ,   9.62,  -0.60,   1.64,     0.81,    -3.06,     0.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.255,          ,   9.62,  -0.60,   1.64,     0.81,    -3.06,     0.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.260,          ,   9.63,  -0.64,   1.75,     2.81,     0.50,     0.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.265,          ,   9.63,  -0.64,   1.75,     2.81,     0.50,     0.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.270,          ,   9.59,  -0.69,   1.75,     3.50,     4.50,     0.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.290,          ,   9.59,  -0.69,   1.75,     4.06,     9.38,     1.00,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.295,          ,   9.16,  -0.56,   1.87,     5.19,    10.06,     0.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.305,          ,   9.11,  -0.44,   1.85,     5.19,    10.06,     0.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.310,          ,   9.27,  -0.30,   1.82,     3.12,     5.88,     0.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.315,          ,   9.27,  -0.30,   1.82,     3.12,     5.88,     0.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.320,          ,   9.38,  -0.18,   1.78,     1.44,    -0.31,    -0.69,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.325,          ,   9.38,  -0.18,   1.78,     1.44,    -0.31,    -0.69,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.330,          ,   9.33,  -0.02,   1.25,    -1.25,    -8.19,    -1.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.335,          ,   9.33,  -0.02,   1.25,    -4.12,   -20.00,    -1.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.340,          ,   9.33,   0.09,   0.95,    -4.12,   -20.00,    -1.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.350,          ,   9.57,   0.15,   0.93,    -6.31,   -33.12,    -1.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.355,          ,   9.57,   0.15,   0.93,    -6.31,   -33.12,    -1.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.360,          ,   9.83,   0.13,   0.92,    -7.38,   -41.38,    -2.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.365,          ,   9.83,   0.13,   0.92,    -7.38,   -41.38,    -2.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.370,          ,   9.94,   0.12,   0.90,    -9.38,   -43.00,    -1.69,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.375,          ,   9.94,   0.12,   0.90,    -9.38,   -43.00,    -1.69,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.395,          ,   9.77,   0.19,   0.72,   -11.44,   -39.12,    -0.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.400,          ,   9.76,   0.22,   0.91,   -11.25,   -28.06,     0.94,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.405,          ,   9.76,   0.22,   0.91,   -10.44,   -18.94,     1.06,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.410,          ,   9.58,   0.10,   0.80,   -10.44,   -18.94,     1.06,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.415,          ,   9.58,   0.10,   0.80,   -10.44,   -18.94,     1.06,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.425,          ,   9.60,  -0.09,   0.86,    -9.44,   -11.19,     0.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.430,          ,   9.70,  -0.29,   1.00,    -7.38,    -6.88,    -1.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.435,          ,   9.70,  -0.29,   1.00,    -7.38,    -6.88,    -1.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.440,          ,   9.78,  -0.44,   1.24,    -6.31,    -4.19,    -3.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.445,          ,   9.78,  -0.44,   1.24,    -6.81,    -2.06,    -4.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.455,          ,   9.77,  -0.40,   1.38,    -6.81,    -2.06,    -4.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.460,          ,   9.86,  -0.37,   1.47,    -7.31,    -1.38,    -4.31,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.465,          ,   9.86,  -0.37,   1.47,    -7.31,    -1.38,    -4.31,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.470,          ,  10.02,  -0.35,   1.41,    -6.06,     0.81,    -4.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.475,          ,  10.02,  -0.35,   1.41,    -6.06,     0.81,    -4.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.480,          ,   9.89,  -0.29,   1.12,    -3.00,     8.50,    -3.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.500,          ,   9.89,  -0.29,   1.12,     0.19,    16.62,    -3.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.505,          ,   9.40,  -0.25,   1.58,    -1.50,    28.00,    -1.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.510,          ,   9.04,  -0.17,   2.00,    -1.50,    28.00,    -1.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.515,          ,   9.14,  -0.18,   2.23,    -5.50,    21.56,    -0.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.525,          ,   9.14,  -0.18,   2.23,    -5.50,    21.56,    -0.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.530,          ,   9.47,   0.11,   1.28,    -8.19,    14.62,     0.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.535,          ,   9.47,   0.11,   1.28,    -8.19,    14.62,     0.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.540,          ,   9.47,   0.18,   1.04,    -8.56,     6.31,     1.31,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.545,          ,   9.47,   0.18,   1.04,    -8.56,     6.31,     1.31,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.550,          ,   9.35,   0.09,   1.20,    -7.06,    -7.19,     1.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.555,          ,   9.35,   0.09,   1.20,    -5.44,   -22.19,     0.31,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.560,          ,   9.84,  -0.08,   1.25,    -5.44,   -22.19,     0.31,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.565,          ,   9.84,  -0.08,   1.25,    -3.62,   -33.88,    -1.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.575,          ,  10.09,  -0.16,   1.14,    -3.62,   -33.88,    -1.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.580,          ,  10.13,  -0.23,   0.74,    -3.19,   -39.19,    -2.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.585,          ,  10.13,  -0.23,   0.74,    -3.19,   -39.19,    -2.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.605,          ,   9.94,  -0.27,   0.25,    -4.19,   -39.94,    -3.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.610,          ,   9.57,  -0.43,  -0.33,    -4.06,   -42.12,    -5.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.615,          ,   9.57,  -0.43,  -0.33,    -4.06,   -42.12,    -5.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.620,          ,   9.53,  -0.37,  -0.23,    -0.81,   -40.81,    -6.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.625,          ,   9.53,  -0.37,  -0.23,    -0.81,   -40.81,    -6.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.630,          ,   9.45,  -0.36,  -0.14,     2.56,   -36.94,    -7.69,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.635,          ,   9.49,  -0.34,  -0.05,     5.56,   -31.81,    -8.88,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.645,          ,   9.49,  -0.34,  -0.05,     5.56,   -31.81,    -8.88,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.650,          ,   9.37,  -0.23,  -0.11,     8.19,   -25.56,    -9.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.655,          ,   9.37,  -0.23,  -0.11,     8.19,   -25.56,    -9.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.660,          ,   9.35,  -0.11,   0.02,    11.31,   -20.88,   -10.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.665,          ,   9.35,  -0.11,   0.02,    11.31,   -20.88,   -10.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.670,          ,   9.40,  -0.04,   0.11,    14.12,   -19.38,   -11.25,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.675,          ,   9.40,  -0.04,   0.11,    16.06,   -16.69,   -12.69,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.680,          ,   9.33,   0.06,   0.28,    16.06,   -16.69,   -12.69,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.690,          ,   9.44,   0.10,   0.67,    16.94,   -13.69,   -13.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.710,          ,   9.44,   0.10,   0.67,    16.94,   -13.69,   -13.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.715,          ,   9.54,   0.17,   0.43,    18.81,   -10.25,   -15.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.720,          ,   9.66,   0.09,   0.48,    18.44,    -6.88,   -15.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.725,          ,   9.66,   0.09,   0.48,    18.44,    -6.88,   -15.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.730,          ,   9.71,   0.05,   0.53,    18.38,    -3.44,   -14.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.735,          ,   9.71,   0.05,   0.53,    19.44,    -1.06,   -14.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.740,          ,   9.94,   0.07,   0.76,    19.44,    -1.06,   -14.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.750,          ,  10.25,   0.01,   0.85,    20.44,     1.06,   -13.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.755,          ,  10.25,   0.01,   0.85,    20.44,     1.06,   -13.19,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.760,          ,  10.14,   0.04,   0.75,    20.50,     7.88,   -11.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.765,          ,  10.14,   0.04,   0.75,    20.50,     7.88,   -11.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.770,          ,  10.13,   0.11,   0.89,    19.50,    12.88,   -10.06,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.775,          ,  10.13,   0.11,   0.89,    19.50,    12.88,   -10.06,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.780,          ,  10.17,   0.25,   0.97,    17.38,    14.69,    -8.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.785,          ,  10.17,   0.25,   0.97,    14.81,    17.00,    -6.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.790,          ,  10.10,   0.39,   0.78,    14.81,    17.00,    -6.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.810,          ,  10.00,   0.58,   0.79,    11.81,    15.88,    -4.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.820,          ,  10.00,   0.62,   0.66,     6.31,     7.75,    -2.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.825,          ,  10.00,   0.62,   0.66,     6.31,     7.75,    -2.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.830,          ,   9.91,   0.66,   0.78,     4.19,     3.38,    -2.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.835,          ,   9.91,   0.66,   0.78,     4.19,     3.38,    -2.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.840,          ,   9.77,   0.78,   1.24,     2.38,     0.44,    -2.12,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.845,          ,   9.77,   0.78,   1.24,    -0.31,    -1.50,    -2.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.850,          ,   9.96,   0.80,   1.16,    -0.31,    -1.50,    -2.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.855,          ,   9.96,   0.80,   1.16,    -2.62,     0.00,    -2.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.860,          ,  10.04,   0.68,   0.96,    -2.62,     0.00,    -2.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.865,          ,  10.04,   0.68,   0.96,    -2.62,     0.00,    -2.81,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.870,          ,   9.87,   0.44,   1.00,    -5.56,     3.06,    -2.88,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.875,          ,   9.80,   0.42,   1.01,    -6.56,     2.81,    -2.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.880,          ,   9.80,   0.42,   1.01,    -6.56,     2.81,    -2.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.885,          ,   9.81,   0.40,   0.96,    -7.44,     3.25,    -2.56,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.895,          ,   9.81,   0.40,   0.96,    -7.44,     3.25,    -2.56,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.910,          ,   9.68,   0.41,   0.89,    -9.06,     4.94,    -2.56,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.915,          ,   9.45,   0.20,   0.58,   -12.50,     9.12,    -2.00,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.920,          ,   9.45,   0.20,   0.58,   -12.50,     9.12,    -2.00,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.925,          ,   9.40,   0.18,   0.71,   -13.19,    12.62,    -1.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.935,          ,   9.40,   0.18,   0.71,   -13.19,    12.62,    -1.38,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.940,          ,   9.32,   0.33,   0.62,   -14.06,    11.94,    -1.56,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.945,          ,   9.32,   0.33,   0.62,   -14.06,    11.94,    -1.56,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.950,          ,   9.34,   0.56,   0.87,   -14.12,    11.19,    -1.50,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.955,          ,   9.34,   0.56,   0.87,   -12.38,     7.31,    -1.88,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.960,          ,   9.35,   0.61,   0.92,   -12.38,     7.31,    -1.88,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.965,          ,   9.35,   0.61,   0.92,   -12.38,     7.31,    -1.88,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.970,          ,   9.34,   0.67,   0.82,   -13.00,     4.62,    -2.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.975,          ,   9.34,   0.67,   0.82,   -13.00,     4.62,    -2.44,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.980,          ,   9.52,   0.62,   0.79,   -14.38,     0.44,    -2.75,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.985,          ,   9.94,   0.37,   0.19,   -13.50,    -1.69,    -2.94,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
0.990,          ,   9.94,   0.37,   0.19,   -13.50,    -1.69,    -2.94,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
1.010,          ,   9.56,   0.34,  -0.22,   -11.25,     2.19,    -2.62,  0.37, -0.57, -0.31, -0.67,  122.19,   80.88,    5.25
1.015,          ,   9.56,   0.34,  -0.22,   -11.25,     2.19,    -2.62,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.020,          ,   9.66,   0.57,   0.35,    -7.94,     7.94,    -3.00,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.025,          ,   9.66,   0.57,   0.35,    -7.94,     7.94,    -3.00,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.030,          ,   9.07,   0.64,   0.03,   -10.62,     8.25,    -2.62,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.035,          ,   9.07,   0.64,   0.03,    -8.50,    -1.31,    -3.19,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.040,          ,   9.45,   0.63,   0.69,    -8.50,    -1.31,    -3.19,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.050,          ,  10.23,   0.62,   0.69,    -4.94,   -15.31,    -4.38,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.055,          ,  10.23,   0.62,   0.69,    -4.94,   -15.31,    -4.38,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.060,          ,  10.34,   0.66,   0.47,    -1.00,   -17.12,    -4.50,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.065,          ,  10.34,   0.66,   0.47,    -1.00,   -17.12,    -4.50,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.070,          ,   9.84,   0.58,   0.48,     1.62,   -11.94,    -2.62,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.075,          ,   9.84,   0.58,   0.48,     1.62,   -11.94,    -2.62,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.080,          ,  10.08,   0.51,   0.25,     2.25,   -15.31,    -1.00,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.085,          ,  10.08,   0.51,   0.25,     3.56,   -18.25,    -0.81,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.105,          ,   9.93,   0.65,   0.02,     3.56,   -18.25,    -0.81,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.110,          ,   9.96,   0.42,   0.62,     8.69,   -23.00,    -0.06,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.120,          ,  10.31,   0.36,   0.90,    11.94,   -21.69,     0.06,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.125,          ,  10.31,   0.36,   0.90,    11.94,   -21.69,     0.06,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.130,          ,  10.38,   0.39,   0.76,    13.12,   -19.00,     0.44,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.135,          ,  10.38,   0.39,   0.76,    14.00,   -13.12,     1.50,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.140,          ,  10.23,   0.45,   0.64,    14.00,   -13.12,     1.50,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.145,          ,  10.03,   0.51,   0.50,    14.62,   -10.25,     3.19,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.155,          ,  10.03,   0.51,   0.50,    14.62,   -10.25,     3.19,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
1.160,          ,  10.05,   0.54,   0.73,    16.38,   -11.19,     4.31,  0.34, -0.59, -0.33, -0.65,  125.31,   85.19,   -1.38
