Start 1h:14m:37s, Update intervall 5 ms
Time [s], Button-press [], Acceleration_x [m/s^2], Acceleration_y [m/s^2], Acceleration_z [m/s^2], Angular-velocity_x [Deg/s], Angular-velocity_y [Deg/s], Angular-velocity_z [Deg/s], Quaternion_w [], Quaternion_x [], Quaternion_y [], Quaternion_z [], Euler-yaw [Deg], Euler-roll [Deg], Euler-pitch [Deg]
0.090,          ,  10.07,   0.36,   1.27,    34.38,    20.25,    18.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.095,          ,  10.20,   0.56,   1.40,    27.00,    32.00,    18.62, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.100,          ,  10.20,   0.56,   1.40,    23.88,    29.56,    18.19, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.105,          ,  10.03,   1.06,   1.41,    23.88,    29.56,    18.19, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.110,          ,  10.03,   1.06,   1.41,    20.81,    27.56,    17.62, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.120,          ,  10.06,   1.19,   1.32,    20.81,    27.56,    17.62, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.125,          ,   9.77,   1.09,   1.32,    18.31,    21.62,    16.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.130,          ,   9.77,   1.09,   1.32,    18.31,    21.62,    16.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.135,          ,   9.70,   0.79,   1.71,    15.00,    10.31,    15.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.140,          ,   9.70,   0.79,   1.71,    15.00,    10.31,    15.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.145,          ,  10.44,   0.48,   2.18,    11.31,     3.19,    14.19, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.150,          ,  10.44,   0.48,   2.18,     9.62,     4.94,    13.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.155,          ,  10.68,   0.54,   2.24,     9.62,     4.94,    13.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.160,          ,  10.68,   0.54,   2.24,     8.75,    14.31,    12.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.170,          ,  10.64,   0.58,   2.16,     8.75,    14.31,    12.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.175,          ,  10.43,   0.66,   2.03,     8.06,    23.06,    11.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.190,          ,  10.43,   0.66,   2.03,     8.06,    23.06,    11.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.200,          ,   9.63,   0.82,   1.75,     8.00,    26.56,    11.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.205,          ,   9.47,   0.72,   1.56,     8.75,    24.44,    10.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.210,          ,   9.47,   0.72,   1.56,     8.75,    24.44,    10.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.215,          ,   9.19,   0.47,   1.39,    10.69,    20.44,    10.31, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.220,          ,   9.19,   0.47,   1.39,    10.69,    20.44,    10.31, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.225,          ,   9.17,   0.35,   1.43,    13.31,    14.00,     9.56, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.230,          ,   9.17,   0.35,   1.43,    13.31,    14.00,     9.56, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.235,          ,   9.14,   0.29,   1.52,    16.44,     7.81,     8.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.245,          ,   9.14,   0.29,   1.52,    19.75,     5.12,     7.50, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.250,          ,   9.14,   0.20,   1.68,    19.75,     5.12,     7.50, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.255,          ,   9.20,   0.13,   1.72,    22.38,     6.50,     6.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.260,          ,   9.20,   0.13,   1.72,    22.38,     6.50,     6.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.265,          ,   9.17,   0.12,   1.72,    24.06,     8.88,     5.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.270,          ,   9.17,   0.12,   1.72,    25.38,    11.88,     4.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.290,          ,   9.15,   0.07,   1.66,    25.38,    11.88,     4.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.295,          ,   8.62,   0.02,   1.60,    24.75,    20.44,     2.44, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.300,          ,   8.62,   0.02,   1.60,    23.94,    11.44,     2.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.305,          ,   8.76,   0.10,   2.04,    23.94,    11.44,     2.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.310,          ,   8.76,   0.10,   2.04,    22.31,    13.81,     2.44, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.320,          ,   9.13,   0.11,   2.12,    22.31,    13.81,     2.44, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.325,          ,   9.16,   0.09,   1.91,    21.19,    22.69,     2.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.330,          ,   9.16,   0.09,   1.91,    21.19,    22.69,     2.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.335,          ,   8.96,   0.01,   1.88,    20.69,    25.44,     2.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.340,          ,   8.96,   0.01,   1.88,    20.69,    25.44,     2.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.345,          ,   8.96,   0.00,   1.76,    21.38,    27.25,     2.44, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.350,          ,   8.96,   0.00,   1.76,    22.62,    29.19,     3.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.360,          ,   9.02,  -0.04,   1.68,    22.62,    29.19,     3.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.365,          ,   9.00,  -0.05,   1.59,    23.88,    29.31,     3.75, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.370,          ,   9.00,  -0.05,   1.59,    23.88,    29.31,     3.75, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.375,          ,   8.93,  -0.09,   1.49,    25.12,    26.56,     4.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.395,          ,   8.93,  -0.09,   1.49,    25.12,    26.56,     4.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.400,          ,   9.17,  -0.09,   1.48,    25.94,    17.81,     4.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.405,          ,   9.32,  -0.04,   1.47,    25.19,    15.00,     3.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.410,          ,   9.32,  -0.04,   1.47,    25.19,    15.00,     3.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.415,          ,   9.48,   0.18,   1.76,    23.50,    13.38,     4.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.420,          ,   9.48,   0.18,   1.76,    23.50,    13.38,     4.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.425,          ,   9.46,   0.28,   1.88,    20.31,    13.38,     5.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.430,          ,   9.46,   0.28,   1.88,    20.31,    13.38,     5.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.435,          ,   9.47,   0.42,   1.97,    16.25,    14.81,     5.75, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.445,          ,   9.47,   0.42,   1.97,    11.88,    15.56,     6.56, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.450,          ,   9.46,   0.51,   2.05,    11.88,    15.56,     6.56, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.455,          ,   9.31,   0.47,   2.08,     8.56,    15.50,     7.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.460,          ,   9.31,   0.47,   2.08,     8.56,    15.50,     7.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.465,          ,   9.16,   0.41,   2.08,     6.12,    14.62,     6.88, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.470,          ,   9.16,   0.41,   2.08,     6.12,    14.62,     6.88, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.475,          ,   8.94,   0.31,   2.16,     4.31,    10.44,     6.44, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.495,          ,   8.94,   0.31,   2.16,     4.31,    10.44,     6.44, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.500,          ,   8.94,  -0.08,   2.40,     2.00,    -3.38,     6.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.505,          ,   9.09,  -0.21,   2.30,     1.88,    -5.94,     6.56, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.510,          ,   9.09,  -0.21,   2.30,     2.88,    -5.88,     7.31, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.520,          ,   9.20,  -0.38,   2.24,     2.88,    -5.88,     7.31, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.525,          ,   9.34,  -0.50,   2.17,     4.00,    -4.50,     8.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.530,          ,   9.34,  -0.50,   2.17,     4.00,    -4.50,     8.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.535,          ,   9.51,  -0.74,   2.00,     4.88,    -3.56,     9.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.540,          ,   9.51,  -0.74,   2.00,     4.88,    -3.56,     9.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.545,          ,   9.53,  -0.84,   1.96,     6.31,    -1.62,    10.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.550,          ,   9.53,  -0.84,   1.96,     7.75,     0.56,    11.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.560,          ,   9.53,  -0.87,   1.92,     7.75,     0.56,    11.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.565,          ,   9.52,  -0.87,   1.91,     9.50,     3.06,    12.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.570,          ,   9.52,  -0.87,   1.91,     9.50,     3.06,    12.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.575,          ,   9.35,  -0.93,   1.90,    11.44,     4.31,    13.19, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.580,          ,   9.35,  -0.93,   1.90,    11.44,     4.31,    13.19, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.600,          ,   9.30,  -0.93,   1.93,    13.50,     3.44,    14.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.605,          ,   9.56,  -0.87,   2.05,    15.25,    -3.88,    15.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.610,          ,   9.56,  -0.87,   2.05,    15.25,    -3.88,    15.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.615,          ,   9.74,  -0.93,   2.08,    14.50,    -7.88,    16.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.620,          ,   9.74,  -0.93,   2.08,    13.81,    -6.62,    16.88, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.625,          ,  10.01,  -0.93,   2.07,    13.81,    -6.62,    16.88, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.635,          ,  10.01,  -0.93,   2.07,    12.69,    -2.81,    17.44, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.640,          ,  10.03,  -0.89,   2.07,    12.69,    -2.81,    17.44, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.645,          ,  10.16,  -0.94,   2.68,    10.81,    -4.31,    17.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.650,          ,  10.16,  -0.94,   2.68,     8.38,    -1.12,    17.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.655,          ,  10.51,  -0.93,   2.61,     8.38,    -1.12,    17.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.660,          ,  10.51,  -0.93,   2.61,     5.94,     8.12,    18.56, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.670,          ,  10.42,  -0.84,   2.77,     5.94,     8.12,    18.56, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.675,          ,  10.06,  -0.77,   3.16,     2.62,     7.94,    19.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.680,          ,  10.06,  -0.77,   3.16,     2.62,     7.94,    19.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.685,          ,  10.39,  -0.59,   3.62,     0.25,     6.62,    19.75, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.705,          ,  10.39,  -0.59,   3.62,     0.25,     6.62,    19.75, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.710,          ,   9.88,  -0.50,   3.19,    -5.75,    17.62,    20.75, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.715,          ,   9.67,  -0.51,   3.33,    -8.31,    12.94,    20.19, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.720,          ,   9.67,  -0.51,   3.33,    -9.88,     9.94,    19.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.725,          ,   9.49,  -0.49,   3.38,    -9.88,     9.94,    19.12, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.735,          ,   9.39,  -0.46,   3.27,   -11.19,     7.81,    17.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.740,          ,   9.39,  -0.46,   3.27,   -11.19,     7.81,    17.38, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.745,          ,   9.37,  -0.48,   3.22,   -12.75,     4.75,    15.50, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.750,          ,   9.37,  -0.48,   3.22,   -12.75,     4.75,    15.50, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.755,          ,   9.39,  -0.53,   3.12,   -14.38,     1.94,    13.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.760,          ,   9.39,  -0.53,   3.12,   -14.88,     1.12,    11.94, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.765,          ,   9.31,  -0.69,   2.84,   -14.88,     1.12,    11.94, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.775,          ,   9.10,  -0.79,   2.68,   -13.38,    -0.19,     9.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.780,          ,   9.10,  -0.79,   2.68,   -13.38,    -0.19,     9.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.785,          ,   8.93,  -0.84,   2.58,   -10.81,    -4.94,     7.62, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.790,          ,   8.93,  -0.84,   2.58,   -10.81,    -4.94,     7.62, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.810,          ,   8.90,  -0.91,   2.67,    -8.44,    -8.50,     5.44, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.815,          ,   8.77,  -1.15,   2.30,    -5.56,   -10.88,     2.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.825,          ,   8.60,  -1.22,   2.20,    -3.12,   -14.44,     1.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.830,          ,   8.60,  -1.22,   2.20,    -3.12,   -14.44,     1.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.835,          ,   8.68,  -1.21,   2.20,    -0.75,   -21.31,     0.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.840,          ,   8.68,  -1.21,   2.20,    -0.75,   -21.31,     0.06, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.845,          ,   9.05,  -0.97,   2.19,     1.00,   -24.69,    -1.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.850,          ,   9.05,  -0.97,   2.19,     1.00,   -24.69,    -1.25, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.855,          ,   9.19,  -0.98,   2.13,     0.25,   -24.94,    -2.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.860,          ,   9.19,  -0.98,   2.13,    -2.62,   -21.25,    -2.94, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.865,          ,   9.42,  -1.04,   2.09,    -2.62,   -21.25,    -2.94, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.870,          ,   9.42,  -1.04,   2.09,    -4.88,   -17.06,    -2.31, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.875,          ,   9.38,  -0.96,   2.14,    -4.88,   -17.06,    -2.31, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.880,          ,   9.38,  -0.96,   2.14,    -5.31,   -13.50,    -1.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.890,          ,   9.28,  -0.85,   2.17,    -5.31,   -13.50,    -1.81, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.895,          ,   9.38,  -0.93,   1.93,    -6.31,    -7.81,    -2.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.915,          ,   9.38,  -0.93,   1.93,    -6.31,    -7.81,    -2.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.920,          ,   9.42,  -1.13,   1.86,    -7.38,    -4.06,    -3.31, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.925,          ,   9.48,  -1.09,   1.99,    -6.69,    -4.12,    -3.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.930,          ,   9.48,  -1.09,   1.99,    -6.69,    -4.12,    -3.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.935,          ,   9.51,  -1.12,   2.28,    -5.94,    -5.81,    -4.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.940,          ,   9.51,  -1.12,   2.28,    -5.94,    -5.81,    -4.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.945,          ,   9.58,  -1.10,   2.47,    -5.56,    -6.88,    -5.56, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.950,          ,   9.58,  -1.10,   2.47,    -5.75,    -7.25,    -6.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.960,          ,   9.73,  -1.10,   2.75,    -5.75,    -7.25,    -6.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.965,          ,   9.84,  -1.12,   2.81,    -5.88,    -6.06,    -7.94, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.970,          ,   9.84,  -1.12,   2.81,    -5.88,    -6.06,    -7.94, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.975,          ,   9.86,  -1.11,   2.83,    -6.31,    -4.56,    -9.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.980,          ,   9.86,  -1.11,   2.83,    -6.31,    -4.56,    -9.00, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.985,          ,   9.78,  -1.12,   2.84,    -7.81,    -3.75,    -9.62, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.990,          ,   9.78,  -1.12,   2.84,    -9.62,    -4.31,    -9.88, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
0.995,          ,   9.58,  -0.87,   2.84,    -9.62,    -4.31,    -9.88, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
1.015,          ,   9.58,  -0.87,   2.84,   -10.88,    -4.56,    -9.69, -0.40,  0.55,  0.36,  0.64,  116.81,   81.50,  -14.00
1.020,          ,   9.58,  -0.87,   2.84,   -10.88,    -4.56,    -9.69, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.025,          ,   9.29,  -1.27,   2.69,   -13.19,    -3.88,    -8.75, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.030,          ,   9.29,  -1.27,   2.69,   -13.19,    -3.88,    -8.75, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.035,          ,   9.25,  -1.33,   2.61,   -13.81,    -5.25,    -8.62, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.040,          ,   9.25,  -1.33,   2.61,   -13.81,    -5.25,    -8.62, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.045,          ,   9.24,  -1.37,   2.57,   -14.38,    -7.38,    -8.38, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.050,          ,   9.24,  -1.37,   2.57,   -14.56,   -10.25,    -8.38, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.055,          ,   9.17,  -1.44,   2.48,   -14.56,   -10.25,    -8.38, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.065,          ,   9.16,  -1.46,   2.49,   -14.12,   -12.94,    -8.62, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.070,          ,   9.16,  -1.46,   2.49,   -14.12,   -12.94,    -8.62, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.075,          ,   9.04,  -1.62,   2.32,   -14.00,   -14.69,    -9.31, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.080,          ,   9.04,  -1.62,   2.32,   -14.00,   -14.69,    -9.31, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.085,          ,   9.03,  -1.61,   2.33,   -12.56,   -17.06,    -9.81, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.090,          ,   9.03,  -1.61,   2.33,   -12.56,   -17.06,    -9.81, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.110,          ,   9.03,  -1.58,   2.33,   -11.31,   -19.19,   -10.69, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.115,          ,   9.01,  -1.54,   2.22,   -10.00,   -20.12,   -11.69, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.120,          ,   9.05,  -1.63,   2.11,    -9.56,   -19.56,   -11.88, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.130,          ,   9.05,  -1.63,   2.11,    -9.56,   -19.56,   -11.88, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.135,          ,   9.12,  -1.76,   1.98,    -8.94,   -19.50,   -12.44, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.140,          ,   9.12,  -1.76,   1.98,    -8.94,   -19.50,   -12.44, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.145,          ,   9.17,  -1.91,   1.93,    -7.31,   -19.88,   -12.69, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.150,          ,   9.17,  -1.91,   1.93,    -7.31,   -19.88,   -12.69, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.155,          ,   9.17,  -2.14,   1.95,    -5.38,   -19.44,   -12.12, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
1.160,          ,   9.17,  -2.14,   1.95,    -5.38,   -19.44,   -12.12, -0.50,  0.50,  0.35,  0.61,  102.06,   75.44,   14.75
